unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1624993380000,2021-06-29T19:03:00Z,BNB/USDT,306.2,306.74,305.91,306.71,1094.4998,335022.731846,292
1624993320000,2021-06-29T19:02:00Z,BNB/USDT,306.41,306.46,306.1,306.25,256.9057,78675.811085,188
1624993260000,2021-06-29T19:01:00Z,BNB/USDT,306.58,306.58,306.36,306.48,320.3762,98182.385364,191
1624993200000,2021-06-29T19:00:00Z,BNB/USDT,306.97,307.09,306.42,306.58,622.4419,190963.846962,286
1624993140000,2021-06-29T18:59:00Z,BNB/USDT,306.81,307.25,306.78,306.96,534.6128,164137.976476,294
1624993080000,2021-06-29T18:58:00Z,BNB/USDT,306.32,306.84,306.27,306.8,172.8441,52983.619594,157
1624993020000,2021-06-29T18:57:00Z,BNB/USDT,306.9,307,306.13,306.32,1032.174,316554.533205,346
1624992960000,2021-06-29T18:56:00Z,BNB/USDT,306.92,306.96,306.56,306.85,425.4667,130541.994395,178
1624992900000,2021-06-29T18:55:00Z,BNB/USDT,306.97,306.97,306.65,306.93,288.3273,88451.707504,181
1624992840000,2021-06-29T18:54:00Z,BNB/USDT,307.18,307.37,306.91,306.98,611.2584,187736.617319,302
1624992780000,2021-06-29T18:53:00Z,BNB/USDT,307.1,307.45,307.09,307.24,664.9305,204301.947406,322
1624992720000,2021-06-29T18:52:00Z,BNB/USDT,306.81,307.12,306.69,307.04,336.3741,103250.800335,208
1624992660000,2021-06-29T18:51:00Z,BNB/USDT,307.07,307.31,306.63,306.8,788.0115,241815.30553,331
1624992600000,2021-06-29T18:50:00Z,BNB/USDT,306.76,307.22,306.71,307.06,900.7777,276569.144422,384
1624992540000,2021-06-29T18:49:00Z,BNB/USDT,305.7,306.9,305.52,306.75,692.5188,212165.593073,420
1624992480000,2021-06-29T18:48:00Z,BNB/USDT,306.04,306.04,305.63,305.7,291.566,89176.405863,240
1624992420000,2021-06-29T18:47:00Z,BNB/USDT,306.29,306.6,306,306.03,549.0115,168122.22207,287
1624992360000,2021-06-29T18:46:00Z,BNB/USDT,306.8,306.8,306.26,306.29,427.1739,130932.350479,244
1624992300000,2021-06-29T18:45:00Z,BNB/USDT,306.38,306.9,306.29,306.83,369.9033,113442.174941,248
1624992240000,2021-06-29T18:44:00Z,BNB/USDT,306.86,306.87,306.26,306.34,358.5615,109938.765684,247
1624992180000,2021-06-29T18:43:00Z,BNB/USDT,306.96,306.99,306.76,306.85,314.9849,96654.960026,201
1624992120000,2021-06-29T18:42:00Z,BNB/USDT,306.9,307.26,306.8,306.9,423.5312,130044.932217,267
1624992060000,2021-06-29T18:41:00Z,BNB/USDT,307.1,307.19,306.75,306.89,455.4783,139824.72506,295
1624992000000,2021-06-29T18:40:00Z,BNB/USDT,306.86,307.19,306.47,307.1,1463.3535,449031.579753,555
1624991940000,2021-06-29T18:39:00Z,BNB/USDT,306.24,306.86,306.07,306.81,1136.7381,348353.311206,453
1624991880000,2021-06-29T18:38:00Z,BNB/USDT,305.67,306.24,305.51,306.24,563.7694,172410.45711,302
1624991820000,2021-06-29T18:37:00Z,BNB/USDT,305.78,305.89,305.47,305.66,624.6815,190933.529251,264
1624991760000,2021-06-29T18:36:00Z,BNB/USDT,305.79,305.96,305.55,305.83,502.6923,153693.976448,411
1624991700000,2021-06-29T18:35:00Z,BNB/USDT,305.42,305.79,305.24,305.78,476.1582,145431.572833,433
1624991640000,2021-06-29T18:34:00Z,BNB/USDT,305.68,305.98,305.25,305.45,1098.8781,335925.107415,469
1624991580000,2021-06-29T18:33:00Z,BNB/USDT,305.4,305.84,305.07,305.74,709.5514,216697.428676,402
1624991520000,2021-06-29T18:32:00Z,BNB/USDT,305.24,305.62,305.18,305.41,503.3296,153687.838739,352
1624991460000,2021-06-29T18:31:00Z,BNB/USDT,306.17,306.25,305.14,305.22,541.0939,165421.102307,424
1624991400000,2021-06-29T18:30:00Z,BNB/USDT,305.56,306.45,305.55,306.07,1577.9933,483065.877941,706
1624991340000,2021-06-29T18:29:00Z,BNB/USDT,304.99,305.84,304.84,305.57,1481.8871,452650.401131,737
1624991280000,2021-06-29T18:28:00Z,BNB/USDT,304.68,305.1,304.51,304.99,1916.7989,584448.438445,648
1624991220000,2021-06-29T18:27:00Z,BNB/USDT,305.32,305.45,304.07,304.65,4531.4026,1380715.497024,1957
1624991160000,2021-06-29T18:26:00Z,BNB/USDT,305.64,305.64,305.05,305.32,2289.4903,699013.664892,652
1624991100000,2021-06-29T18:25:00Z,BNB/USDT,305.71,305.78,305.5,305.64,650.5915,198805.758208,337
