unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1624997100000,2021-06-29T20:05:00Z,BTC/USDT,36339.83,36359.99,36323.08,36353.32,14.40064,523357.9838486,442
1624997040000,2021-06-29T20:04:00Z,BTC/USDT,36376.93,36376.93,36335.68,36339.83,19.951721,725392.90743146,519
1624996980000,2021-06-29T20:03:00Z,BTC/USDT,36312.49,36379.67,36293.99,36376.93,51.603456,1874666.88923977,1035
1624996920000,2021-06-29T20:02:00Z,BTC/USDT,36355.05,36355.06,36264.13,36312.5,91.292668,3313754.50803912,1598
1624996860000,2021-06-29T20:01:00Z,BTC/USDT,36395.81,36398.98,36345.83,36355.06,23.116047,840753.36669552,713
1624996800000,2021-06-29T20:00:00Z,BTC/USDT,36382.39,36400,36376.21,36395.81,42.533434,1547949.40285771,768
1624996740000,2021-06-29T19:59:00Z,BTC/USDT,36384.54,36399.99,36370.96,36382.39,73.544875,2676377.53342675,789
1624996680000,2021-06-29T19:58:00Z,BTC/USDT,36369.45,36387.99,36369.44,36384.55,21.51986,782903.10112262,676
1624996620000,2021-06-29T19:57:00Z,BTC/USDT,36364.27,36377.54,36355.56,36369.44,18.707602,680314.1896038,683
1624996560000,2021-06-29T19:56:00Z,BTC/USDT,36364.46,36382.5,36355,36364.27,21.967633,798934.46787243,838
1624996500000,2021-06-29T19:55:00Z,BTC/USDT,36376.21,36376.34,36350.02,36364.46,12.885268,468533.11242063,782
1624996440000,2021-06-29T19:54:00Z,BTC/USDT,36354.21,36376.81,36353.73,36376.2,25.067892,911638.34655311,775
1624996380000,2021-06-29T19:53:00Z,BTC/USDT,36339.77,36360,36328.58,36351.66,19.612593,712779.24183887,743
1624996320000,2021-06-29T19:52:00Z,BTC/USDT,36370.78,36387.95,36338.7,36339.77,40.799592,1483706.47118043,935
1624996260000,2021-06-29T19:51:00Z,BTC/USDT,36304.11,36372.34,36290.84,36369.21,62.355992,2265853.21546679,1274
1624996200000,2021-06-29T19:50:00Z,BTC/USDT,36283.5,36310.15,36259.51,36304.12,25.141049,912453.91301091,823
1624996140000,2021-06-29T19:49:00Z,BTC/USDT,36272.49,36306.82,36272.49,36283.5,25.291229,917904.13574794,884
1624996080000,2021-06-29T19:48:00Z,BTC/USDT,36229.3,36272.5,36223.99,36272.5,20.411506,739893.74266971,911
1624996020000,2021-06-29T19:47:00Z,BTC/USDT,36224.54,36246.41,36218.07,36229.31,14.493587,525132.66379055,826
1624995960000,2021-06-29T19:46:00Z,BTC/USDT,36220.96,36234.34,36205.01,36226.25,24.200223,876349.18118007,728
1624995900000,2021-06-29T19:45:00Z,BTC/USDT,36228.69,36250.6,36220.96,36220.97,25.173874,912158.6146016,845
1624995840000,2021-06-29T19:44:00Z,BTC/USDT,36259.98,36259.98,36227.24,36228.69,15.994294,579670.11753499,875
1624995780000,2021-06-29T19:43:00Z,BTC/USDT,36265.01,36278.42,36253.56,36259.98,13.90756,504346.00720764,546
1624995720000,2021-06-29T19:42:00Z,BTC/USDT,36268.79,36285.05,36260,36265.64,9.800244,355444.8931844,443
1624995660000,2021-06-29T19:41:00Z,BTC/USDT,36288.96,36296.21,36264.19,36268.79,11.952212,433589.97474768,659
1624995600000,2021-06-29T19:40:00Z,BTC/USDT,36269.97,36301.74,36260.74,36288.97,20.614208,747903.3862626,680
1624995540000,2021-06-29T19:39:00Z,BTC/USDT,36316.45,36316.45,36260.41,36269.97,18.885098,685146.90574895,889
1624995480000,2021-06-29T19:38:00Z,BTC/USDT,36327.19,36327.19,36306.72,36316.45,14.854618,539543.90040529,590
1624995420000,2021-06-29T19:37:00Z,BTC/USDT,36305.15,36327.74,36300,36327.18,15.782173,573063.64770366,633
1624995360000,2021-06-29T19:36:00Z,BTC/USDT,36285.03,36312.5,36283.76,36305.07,20.194728,733016.25166151,716
1624995300000,2021-06-29T19:35:00Z,BTC/USDT,36277.67,36291.43,36270,36285.03,20.795108,754352.15798127,791
1624995240000,2021-06-29T19:34:00Z,BTC/USDT,36270.64,36300,36270,36277.67,19.479554,706763.20924094,630
1624995180000,2021-06-29T19:33:00Z,BTC/USDT,36270.01,36275,36269.26,36270.64,8.732987,316750.57404011,485
1624995120000,2021-06-29T19:32:00Z,BTC/USDT,36267.01,36289.97,36267,36270.02,10.21274,370492.33339085,561
1624995060000,2021-06-29T19:31:00Z,BTC/USDT,36315.05,36319.95,36260.05,36267.01,75.482781,2740031.36239271,1142
1624995000000,2021-06-29T19:30:00Z,BTC/USDT,36333.27,36338.27,36313,36315.06,72.133883,2619472.104687,561
1624994940000,2021-06-29T19:29:00Z,BTC/USDT,36351.77,36365.16,36330.8,36334.31,22.59572,821324.89874046,717
1624994880000,2021-06-29T19:28:00Z,BTC/USDT,36343.22,36359.15,36338.3,36351.7,12.519763,455090.53697847,393
1624994820000,2021-06-29T19:27:00Z,BTC/USDT,36346.34,36350,36341.88,36343.22,12.603409,458099.09764032,470
1624994760000,2021-06-29T19:26:00Z,BTC/USDT,36336.01,36350,36330,36340.76,24.751814,899460.22916749,722
1624994700000,2021-06-29T19:25:00Z,BTC/USDT,36334.67,36350,36316.12,36336.43,15.661026,569065.5580102,598
1624994640000,2021-06-29T19:24:00Z,BTC/USDT,36337.1,36344.97,36308.58,36334.67,9.458226,343581.70819853,537
1624994580000,2021-06-29T19:23:00Z,BTC/USDT,36309.76,36356,36309.76,36337.11,52.996324,1925414.73532793,1040
1624994520000,2021-06-29T19:22:00Z,BTC/USDT,36292.97,36312.91,36286.91,36309.76,11.392717,413526.26559152,520
1624994460000,2021-06-29T19:21:00Z,BTC/USDT,36299.99,36300,36260.24,36292.97,20.856354,756729.90457588,708
1624994400000,2021-06-29T19:20:00Z,BTC/USDT,36315.43,36315.43,36282.06,36300,10.912698,396032.97330293,664
1624994340000,2021-06-29T19:19:00Z,BTC/USDT,36329.99,36346.49,36307.39,36315.43,17.321212,629215.97066887,948
1624994280000,2021-06-29T19:18:00Z,BTC/USDT,36309.78,36332.98,36290,36329.99,14.877283,540182.15384495,571
1624994220000,2021-06-29T19:17:00Z,BTC/USDT,36334.35,36334.36,36302,36309.78,22.250055,807975.28101158,776
1624994160000,2021-06-29T19:16:00Z,BTC/USDT,36332.51,36333.78,36311.73,36333.78,10.013552,363688.3399637,542
1624994100000,2021-06-29T19:15:00Z,BTC/USDT,36349.87,36349.88,36328.46,36332.52,13.760133,499971.15697403,605
1624994040000,2021-06-29T19:14:00Z,BTC/USDT,36349.61,36355.4,36324.08,36349.88,14.766232,536659.48741511,614
1624993980000,2021-06-29T19:13:00Z,BTC/USDT,36346.87,36355.55,36342.8,36349.61,10.345602,376066.09202976,646
1624993920000,2021-06-29T19:12:00Z,BTC/USDT,36328.01,36358.14,36319.41,36347.08,13.323642,484268.25210447,646
1624993860000,2021-06-29T19:11:00Z,BTC/USDT,36311.72,36333.47,36309.15,36328.01,12.861155,467110.97020862,822
1624993800000,2021-06-29T19:10:00Z,BTC/USDT,36320.01,36334.5,36302.79,36311.76,46.486481,1688338.24289026,710
