unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1624992960000,2021-06-29T18:56:00Z,ETH/USDT,2222.95,2222.95,2220.01,2222.32,97.20635,215921.3175929,578
1624992900000,2021-06-29T18:55:00Z,ETH/USDT,2222.95,2222.99,2220.34,2222.8,115.38008,256345.5510655,718
1624992840000,2021-06-29T18:54:00Z,ETH/USDT,2223.79,2223.79,2222.52,2222.97,81.41846,181001.3311919,544
1624992780000,2021-06-29T18:53:00Z,ETH/USDT,2221.91,2224.19,2221.77,2223.79,138.13079,307136.7174353,834
1624992720000,2021-06-29T18:52:00Z,ETH/USDT,2219,2222.69,2218.07,2221.91,123.12645,273363.9642833,475
1624992660000,2021-06-29T18:51:00Z,ETH/USDT,2223.64,2223.65,2218.75,2219,250.2035,555581.6019602,892
1624992600000,2021-06-29T18:50:00Z,ETH/USDT,2221.27,2224.3,2221.25,2223.64,374.84106,833399.6884796,778
1624992540000,2021-06-29T18:49:00Z,ETH/USDT,2214.04,2222.13,2213.57,2221.33,295.52129,655355.8818717,1093
1624992480000,2021-06-29T18:48:00Z,ETH/USDT,2216.44,2216.44,2214.03,2214.04,127.11901,281576.7748236,610
1624992420000,2021-06-29T18:47:00Z,ETH/USDT,2219.26,2219.26,2215.18,2216.32,331.51457,735259.0391562,1187
1624992360000,2021-06-29T18:46:00Z,ETH/USDT,2223.29,2223.29,2219.02,2219.26,345.65701,767696.8364002,569
1624992300000,2021-06-29T18:45:00Z,ETH/USDT,2219.39,2223.29,2219.08,2223.29,205.94624,457528.1069618,636
1624992240000,2021-06-29T18:44:00Z,ETH/USDT,2221.59,2221.6,2218.84,2219.4,144.81869,321569.586853,934
1624992180000,2021-06-29T18:43:00Z,ETH/USDT,2221.92,2222.14,2221.13,2222.02,224.41812,498608.1312535,880
1624992120000,2021-06-29T18:42:00Z,ETH/USDT,2222.51,2225.01,2221.47,2222.25,339.49399,754668.721409,717
1624992060000,2021-06-29T18:41:00Z,ETH/USDT,2223.66,2224.14,2221.6,2222.49,335.51039,745790.7946162,993
1624992000000,2021-06-29T18:40:00Z,ETH/USDT,2223.5,2224.98,2220.24,2223.67,428.18605,951874.4605971,820
1624991940000,2021-06-29T18:39:00Z,ETH/USDT,2219.58,2223.51,2217.86,2223.5,380.08134,843750.8559428,1382
1624991880000,2021-06-29T18:38:00Z,ETH/USDT,2215.72,2219.54,2214.57,2219.54,329.59004,730507.9135011,960
1624991820000,2021-06-29T18:37:00Z,ETH/USDT,2216.89,2217.04,2213.78,2215.73,245.11071,543051.1035459,823
1624991760000,2021-06-29T18:36:00Z,ETH/USDT,2218.62,2218.63,2215.78,2216.89,318.87879,706872.0433793,578
1624991700000,2021-06-29T18:35:00Z,ETH/USDT,2216.68,2219.01,2215.77,2218.63,204.76512,454006.9303881,1287
1624991640000,2021-06-29T18:34:00Z,ETH/USDT,2218.01,2220.25,2215.44,2216.33,302.66684,671384.7188511,848
1624991580000,2021-06-29T18:33:00Z,ETH/USDT,2214.91,2218.55,2214.23,2218.21,292.41041,648000.9013675,789
1624991520000,2021-06-29T18:32:00Z,ETH/USDT,2215.55,2216,2213.9,2214.92,441.88455,978749.5680623,934
1624991460000,2021-06-29T18:31:00Z,ETH/USDT,2219.39,2220.4,2215.37,2215.83,371.7402,824609.765076,1018
1624991400000,2021-06-29T18:30:00Z,ETH/USDT,2215.93,2220.34,2215.91,2219.39,681.29608,1511825.5221125,971
1624991340000,2021-06-29T18:29:00Z,ETH/USDT,2213.43,2217.78,2212.18,2215.93,476.96956,1056410.3100371,1332
1624991280000,2021-06-29T18:28:00Z,ETH/USDT,2210.05,2213.45,2209.85,2213.43,672.38683,1487121.4385576,823
1624991220000,2021-06-29T18:27:00Z,ETH/USDT,2211.5,2212.35,2209.4,2210.23,557.40193,1232138.7354954,1355
1624991160000,2021-06-29T18:26:00Z,ETH/USDT,2213.89,2213.95,2210.88,2211.5,654.48902,1447794.6693781,1200
1624991100000,2021-06-29T18:25:00Z,ETH/USDT,2215.62,2216.63,2213,2213.88,322.47796,714082.3179364,748
1624991040000,2021-06-29T18:24:00Z,ETH/USDT,2215.65,2216.25,2212.27,2215.62,607.86672,1345876.0720976,1189
1624990980000,2021-06-29T18:23:00Z,ETH/USDT,2218.02,2218.02,2214.64,2215.66,620.11521,1374387.6301745,1594
1624990920000,2021-06-29T18:22:00Z,ETH/USDT,2217.42,2219.35,2216.71,2218.32,446.28075,989757.0324853,767
1624990860000,2021-06-29T18:21:00Z,ETH/USDT,2218.93,2221.56,2217,2217.01,602.11752,1336011.8021545,1334
