unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1624992420000,2021-06-29T18:47:00Z,DOT/USDT,16.568,16.578,16.559,16.561,3726.699,61742.304015,138
1624992360000,2021-06-29T18:46:00Z,DOT/USDT,16.607,16.616,16.57,16.57,7777.243,129090.004454,161
1624992300000,2021-06-29T18:45:00Z,DOT/USDT,16.563,16.608,16.559,16.607,6838.612,113412.448609,183
1624992240000,2021-06-29T18:44:00Z,DOT/USDT,16.608,16.608,16.557,16.564,6779.439,112448.145107,204
1624992180000,2021-06-29T18:43:00Z,DOT/USDT,16.612,16.627,16.605,16.608,5669.052,94197.548748,136
1624992120000,2021-06-29T18:42:00Z,DOT/USDT,16.621,16.634,16.606,16.613,3207.287,53311.651749,116
1624992060000,2021-06-29T18:41:00Z,DOT/USDT,16.628,16.635,16.609,16.62,2487.946,41352.649373,118
1624992000000,2021-06-29T18:40:00Z,DOT/USDT,16.623,16.633,16.606,16.623,10089.686,167695.135108,275
1624991940000,2021-06-29T18:39:00Z,DOT/USDT,16.58,16.627,16.578,16.624,4160.381,69090.218534,247
1624991880000,2021-06-29T18:38:00Z,DOT/USDT,16.555,16.58,16.548,16.58,3566.866,59074.245565,128
1624991820000,2021-06-29T18:37:00Z,DOT/USDT,16.566,16.57,16.543,16.562,3021.894,50038.902374,102
1624991760000,2021-06-29T18:36:00Z,DOT/USDT,16.566,16.575,16.551,16.569,3663.781,60691.77957,131
1624991700000,2021-06-29T18:35:00Z,DOT/USDT,16.562,16.571,16.537,16.565,14027.223,232140.629584,262
1624991640000,2021-06-29T18:34:00Z,DOT/USDT,16.596,16.611,16.556,16.567,23090.537,383066.866153,226
1624991580000,2021-06-29T18:33:00Z,DOT/USDT,16.573,16.602,16.558,16.597,2374.168,39361.04844,167
1624991520000,2021-06-29T18:32:00Z,DOT/USDT,16.571,16.577,16.555,16.573,1936.666,32087.419393,117
1624991460000,2021-06-29T18:31:00Z,DOT/USDT,16.607,16.611,16.566,16.575,5240.338,86951.452348,190
1624991400000,2021-06-29T18:30:00Z,DOT/USDT,16.584,16.612,16.583,16.602,8101.182,134472.297655,243
1624991340000,2021-06-29T18:29:00Z,DOT/USDT,16.589,16.623,16.575,16.586,9765.013,162097.25184,252
1624991280000,2021-06-29T18:28:00Z,DOT/USDT,16.571,16.594,16.552,16.586,13474.507,223237.7843,363
1624991220000,2021-06-29T18:27:00Z,DOT/USDT,16.604,16.61,16.569,16.576,6554.398,108749.257953,270
1624991160000,2021-06-29T18:26:00Z,DOT/USDT,16.624,16.624,16.586,16.604,33354.877,553698.821191,406
1624991100000,2021-06-29T18:25:00Z,DOT/USDT,16.624,16.63,16.614,16.624,8661.895,144024.262282,174
1624991040000,2021-06-29T18:24:00Z,DOT/USDT,16.631,16.634,16.601,16.625,13028.791,216563.42911,300
